,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
131,22953264,2022-09-28,126644773,f,Pacific Grove,36.61355,-121.90849,Entire home/apt,False,False,$228.00,0,,,,,
132,23256075,2022-09-28,161014914,t,Pacific Grove,36.60166,-121.90352,Entire home/apt,False,False,$325.00,3,2019-08-12,5.0,5.0,4.67,0.06
133,23768786,2022-09-28,110664679,t,Pacific Grove,36.62695,-121.91939,Entire home/apt,False,False,$435.00,186,2022-09-19,4.93,4.98,4.69,3.43
134,24059256,2022-09-28,181127429,f,Pacific Grove,36.62017,-121.93109,Entire home/apt,False,False,$116.00,95,2022-06-14,4.94,4.98,4.8,1.73
135,24455559,2022-09-28,95878917,f,Pacific Grove,36.60283,-121.89649,Entire home/apt,False,False,$299.00,37,2022-08-21,4.95,5.0,4.81,0.72
136,24770720,2022-09-28,4660433,f,Pacific Grove,36.61129,-121.90275,Entire home/apt,False,False,$399.00,48,2022-08-21,4.9,4.96,4.69,0.93
137,24773264,2022-09-29,72001105,f,Pacific Grove,36.62094,-121.91964,Entire home/apt,False,False,$180.00,1,2018-06-18,,,,0.02
138,25281531,2022-09-28,190984125,f,Pacific Grove,36.61887,-121.93519,Hotel room,False,False,$200.00,31,2020-09-18,4.43,4.79,4.61,0.6
139,26192700,2022-09-28,46785054,t,Pacific Grove,36.62292,-121.91443,Private room,False,False,$415.00,9,2022-08-28,4.89,5.0,4.78,0.18
140,26197377,2022-09-28,46785054,t,Pacific Grove,36.6249,-121.91485,Private room,False,False,$375.00,58,2022-08-12,4.84,4.97,4.62,1.31
141,26197786,2022-09-28,46785054,t,Pacific Grove,36.62416,-121.91599,Private room,False,False,$335.00,23,2022-09-09,4.96,4.96,4.78,0.45
142,26197911,2022-09-28,46785054,t,Pacific Grove,36.62271,-121.91575,Private room,False,False,$335.00,51,2022-07-25,5.0,5.0,4.61,1.07
143,26198274,2022-09-28,46785054,t,Pacific Grove,36.62425,-121.9167,Entire home/apt,False,False,$564.00,28,2022-09-03,4.96,4.96,4.57,0.84
144,26198464,2022-09-28,46785054,t,Pacific Grove,36.62285,-121.91596,Private room,False,False,$355.00,5,2022-05-30,5.0,5.0,4.6,0.19
145,26198705,2022-09-28,46785054,t,Pacific Grove,36.6246,-121.91437,Private room,False,False,$325.00,46,2022-07-25,4.91,5.0,4.7,0.93
146,26468647,2022-09-28,43389940,t,Pacific Grove,36.62174,-121.92063,Entire home/apt,False,False,$478.00,268,2022-09-16,5.0,4.97,4.87,5.2
147,27837664,2022-09-28,210070058,f,Pacific Grove,36.62680816650391,-121.9191665649414,Entire home/apt,False,False,$299.00,11,2022-08-30,4.27,5.0,4.18,0.24
148,29591949,2022-09-28,98122944,t,Pacific Grove,36.61321,-121.90416,Private room,False,False,$485.00,4,2022-04-22,5.0,5.0,5.0,0.1
149,29592154,2022-09-28,98122944,t,Pacific Grove,36.61318,-121.90192,Private room,False,False,$434.00,7,2022-04-13,5.0,5.0,4.86,0.16
150,29592274,2022-09-28,98122944,t,Pacific Grove,36.61181,-121.90392,Private room,False,False,$369.00,2,2022-03-07,5.0,5.0,5.0,0.12
151,29592365,2022-09-28,98122944,t,Pacific Grove,36.61156,-121.90386,Private room,False,False,$359.00,8,2022-07-04,5.0,5.0,4.88,0.2
152,29592472,2022-09-28,98122944,t,Pacific Grove,36.61337,-121.90215,Private room,False,False,$317.00,6,2022-07-25,5.0,5.0,5.0,0.16
153,29592582,2022-09-28,98122944,t,Pacific Grove,36.61296,-121.90425,Private room,False,False,$278.00,12,2022-05-28,5.0,5.0,4.83,0.29
154,31169667,2022-09-28,62428944,t,Pacific Grove,36.61941,-121.90752,Entire home/apt,False,False,$549.00,208,2022-09-25,4.98,5.0,4.82,4.61
155,31721314,2022-09-28,237911024,f,Pacific Grove,36.61854,-121.91346,Private room,False,False,$50.00,0,,,,,
156,32166763,2022-09-28,89221142,t,Pacific Grove,36.61113,-121.91658,Entire home/apt,False,False,$236.00,82,2022-09-12,4.99,4.99,4.84,2.06
