,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
3757,50626206,2022-09-19,44227220,f,Palo Alto,37.41919,-122.1297,Entire home/apt,False,False,$187.00,38,2022-08-28,4.84,4.63,4.68,2.53
3758,50627306,2022-09-19,107434423,f,Milpitas,37.4091432,-121.8926111,Entire home/apt,False,False,$298.00,0,,,,,
3759,50634467,2022-09-19,1267562,f,Mountain View,37.38495,-122.07283,Entire home/apt,False,False,$300.00,0,,,,,
3760,50645634,2022-09-19,120536151,f,Santa Clara,37.34469,-121.95651,Entire home/apt,False,False,$70.00,6,2021-07-17,5.0,5.0,5.0,0.4
3761,50664307,2022-09-19,22415095,f,San Jose,37.33945,-121.915,Entire home/apt,False,False,$108.00,2,2021-07-19,5.0,5.0,5.0,0.14
3762,50679263,2022-09-19,2723586,f,Unincorporated Areas,37.37556,-121.82792,Entire home/apt,False,False,$90.00,6,2021-08-27,5.0,5.0,5.0,0.41
3763,50679344,2022-09-19,118976281,f,San Jose,37.32811,-121.90308,Private room,False,False,$57.00,0,,,,,
3764,50680404,2022-09-19,129802597,f,San Jose,37.35505,-121.89188,Private room,True,False,$77.00,0,,,,,
3765,50681405,2022-09-19,375357371,t,Santa Clara,37.39088,-121.94915,Private room,False,False,$66.00,19,2022-09-15,4.95,4.95,4.79,1.34
3766,50684086,2022-09-19,343376320,f,San Jose,37.39358,-121.83965,Private room,False,False,$32.00,2,2021-11-19,5.0,5.0,3.5,0.18
3767,50698891,2022-09-19,442121852,t,San Jose,37.32202,-121.87832,Entire home/apt,False,False,$151.00,47,2022-09-11,4.96,4.77,4.89,3.2
3768,50700292,2022-09-19,442121852,t,San Jose,37.32033,-121.8786,Entire home/apt,False,False,$149.00,49,2022-09-04,4.94,4.78,4.86,3.3
3769,50705583,2022-09-19,1194082,t,San Jose,37.31838,-121.89295,Entire home/apt,False,False,$230.00,11,2022-01-19,5.0,4.55,4.82,0.8
3770,50730935,2022-09-19,27605861,t,San Jose,37.22516,-121.87988,Private room,False,False,$58.00,6,2022-07-01,5.0,5.0,5.0,0.66
3771,50757958,2022-09-19,394476678,t,San Jose,37.32061,-121.87815,Entire home/apt,False,False,$157.00,59,2022-09-15,4.95,4.68,4.88,4.0
3772,50761408,2022-09-19,107434423,f,Palo Alto,37.43138,-122.1884,Entire home/apt,False,False,$233.00,0,,,,,
3773,50764502,2022-09-19,107434423,f,Palo Alto,37.4305293,-122.1885364,Entire home/apt,False,False,$254.00,0,,,,,
3774,50774518,2022-09-19,2447150,f,Palo Alto,37.41744,-122.12405,Entire home/apt,False,False,$160.00,6,2022-08-06,4.83,4.5,4.67,0.44
3775,50776632,2022-09-19,265228108,t,Mountain View,37.40843,-122.10124,Entire home/apt,False,False,$271.00,0,,,,,
3776,50786527,2022-09-19,107434423,f,San Jose,37.3345021,-121.9079508,Entire home/apt,False,False,$378.00,0,,,,,
3777,50786777,2022-09-19,107434423,f,Santa Clara,37.40394959999999,-121.9584108,Entire home/apt,False,False,$220.00,0,,,,,
3778,50792384,2022-09-19,22538846,f,Sunnyvale,37.39303,-121.99223,Private room,False,False,$54.00,6,2022-08-21,5.0,5.0,5.0,0.48
3779,50797119,2022-09-19,142933064,f,Santa Clara,37.32418,-121.99663,Private room,False,False,$59.00,2,2021-12-11,5.0,5.0,5.0,0.14
3780,50825586,2022-09-19,32100336,t,San Jose,37.31813,-121.98442,Entire home/apt,False,False,$140.00,7,2022-08-12,4.43,4.57,4.29,0.52
3781,50825715,2022-09-19,246078226,f,San Jose,37.30746,-121.88197,Private room,False,False,$45.00,3,2022-07-19,5.0,5.0,4.67,0.22
3782,50841440,2022-09-19,107434423,f,Santa Clara,37.40481,-121.95779,Entire home/apt,False,False,$281.00,0,,,,,
3783,50846613,2022-09-19,211767071,f,San Jose,37.33676,-121.83174,Private room,False,False,$43.00,47,2022-09-14,4.68,4.64,4.55,3.31
3784,50855931,2022-09-19,210787312,t,Santa Clara,37.33035336260557,-121.96163271294422,Private room,False,False,$65.00,7,2022-08-07,5.0,4.86,4.86,0.73
3785,50862242,2022-09-19,107434423,f,Mountain View,37.40389,-122.09553,Entire home/apt,False,False,$285.00,0,,,,,
3786,50862286,2022-09-19,107434423,f,Mountain View,37.40389,-122.09553,Entire home/apt,False,False,$222.00,1,2022-01-10,5.0,5.0,5.0,0.12
3787,50866582,2022-09-19,107434423,f,Los Gatos,37.2220627,-121.9832506,Entire home/apt,False,False,$222.00,0,,,,,
3788,50878483,2022-09-19,571125,f,San Jose,37.29289,-121.89128,Private room,False,False,$50.00,0,,,,,
3789,50878970,2022-09-19,222756543,f,Palo Alto,37.45153,-122.16192,Entire home/apt,False,False,$175.00,4,2022-08-03,5.0,5.0,4.75,0.28
3790,50885476,2022-09-19,107434423,f,Palo Alto,37.4307287,-122.1883848,Entire home/apt,False,False,$230.00,0,,,,,
3791,50889095,2022-09-19,107434423,f,Santa Clara,37.4026427,-121.9532468,Entire home/apt,False,False,$164.00,0,,,,,
3792,50889330,2022-09-19,107434423,f,Palo Alto,37.43356259999999,-122.1846682,Entire home/apt,False,False,$304.00,1,2022-04-26,5.0,5.0,4.0,0.2
3793,50899825,2022-09-19,394476678,t,San Jose,37.32026,-121.8796,Entire home/apt,False,False,$127.00,52,2022-09-11,4.92,4.83,4.88,3.59
3794,50901537,2022-09-19,211767071,f,San Jose,37.33615,-121.83226,Private room,False,False,$45.00,47,2022-08-28,4.77,4.64,4.72,3.26
3795,50912793,2022-09-19,75084265,f,Unincorporated Areas,37.1712,-121.97966,Private room,True,False,$285.00,0,,,,,
3796,50919970,2022-09-19,148714277,t,Santa Clara,37.36844,-121.97931,Entire home/apt,False,False,$95.00,2,2021-10-15,5.0,5.0,5.0,0.16
3797,50920418,2022-09-19,279870356,t,San Jose,37.3298,-121.91439,Entire home/apt,False,False,$109.00,23,2022-08-21,5.0,5.0,4.87,1.6
3798,50922454,2022-09-19,48005494,f,Milpitas,37.41961,-121.9107,Entire home/apt,False,False,$159.00,1,2022-06-11,5.0,5.0,5.0,0.3
3799,50922455,2022-09-19,48005494,f,Palo Alto,37.43126,-122.12279,Entire home/apt,False,False,$275.00,0,,,,,
3800,50925684,2022-09-19,250222383,t,Santa Clara,37.36603,-121.9946,Entire home/apt,False,False,$189.00,29,2022-09-12,4.83,5.0,4.76,2.08
3801,50930533,2022-09-19,107434423,f,Palo Alto,37.4307287,-122.1883848,Entire home/apt,False,False,$229.00,0,,,,,
3802,50936616,2022-09-19,142933064,f,Santa Clara,37.32384,-121.99589,Private room,False,False,$50.00,5,2022-08-01,5.0,4.6,4.8,0.71
3803,50936781,2022-09-19,142933064,f,Santa Clara,37.34183,-121.95979,Private room,False,False,$49.00,10,2022-07-07,4.5,4.7,4.4,1.04
3804,50955360,2022-09-19,87341866,t,Santa Clara,37.34713,-121.99708,Private room,True,False,$59.00,28,2022-09-16,4.96,4.89,4.89,2.02
3805,50957183,2022-09-19,250222383,t,Santa Clara,37.36412,-121.99391,Entire home/apt,False,False,$88.00,31,2022-09-14,4.94,5.0,5.0,2.2
3806,50958065,2022-09-19,106898475,f,San Jose,37.27058,-121.80613,Private room,False,False,$70.00,22,2022-08-02,4.77,4.64,4.64,1.53
3807,50960453,2022-09-19,43806,f,Sunnyvale,37.37639,-122.03241,Entire home/apt,False,False,$200.00,0,,,,,
3808,50960676,2022-09-19,43806,f,Sunnyvale,37.37994,-122.03396,Private room,False,False,$65.00,1,2022-04-30,5.0,5.0,5.0,0.21
3809,50979272,2022-09-19,394476678,t,San Jose,37.32153,-121.88031,Entire home/apt,False,False,$174.00,71,2022-09-13,4.82,4.77,4.83,5.0
3810,50982327,2022-09-19,373166289,f,Mountain View,37.40122,-122.0668,Entire home/apt,False,False,$117.00,26,2022-08-27,4.85,4.85,4.5,2.02
3811,51003939,2022-09-19,58736931,t,San Jose,37.3938,-121.83157,Entire home/apt,True,True,$534.00,0,,,,,
3812,51004147,2022-09-19,412599664,f,Santa Clara,37.39207,-121.9681,Private room,False,False,$339.00,0,,,,,
3813,51008583,2022-09-19,107434423,f,Mountain View,37.3988771,-122.093121,Entire home/apt,False,False,$281.00,1,2021-09-30,5.0,5.0,4.0,0.08
3814,51020349,2022-09-19,70248015,f,Santa Clara,37.36173,-121.97925,Private room,False,False,$90.00,0,,,,,
3815,51024896,2022-09-19,412799344,t,Morgan Hill,37.13427,-121.65901,Entire home/apt,True,True,$166.00,67,2022-09-03,4.99,4.96,4.97,4.75
3816,51025531,2022-09-19,48005494,f,San Jose,37.39014,-121.85955,Entire home/apt,False,False,$323.00,0,,,,,
3817,51027636,2022-09-19,107587389,f,San Jose,37.31352,-121.77792,Entire home/apt,False,False,$161.00,1,2022-07-24,5.0,5.0,5.0,0.52
3818,51027715,2022-09-19,44227220,f,Palo Alto,37.41931,-122.12976,Entire home/apt,False,False,$179.00,27,2022-09-15,4.89,4.85,4.44,1.88
3819,51045862,2022-09-19,412994221,t,San Jose,37.32103,-121.87823,Entire home/apt,False,False,$158.00,41,2022-09-06,4.73,4.34,4.54,3.11
3820,51046648,2022-09-19,12769251,f,Santa Clara,37.36852,-121.98463,Entire home/apt,False,False,$215.00,39,2022-03-20,4.67,4.79,4.56,2.73
3821,51047703,2022-09-19,42585967,t,Santa Clara,37.36697,-121.9851,Entire home/apt,True,True,$297.00,37,2022-09-04,4.95,4.92,4.92,3.22
3822,51048585,2022-09-19,413030297,t,Santa Clara,37.34658,-121.99475,Entire home/apt,False,False,$79.00,3,2022-04-12,5.0,5.0,5.0,0.26
3823,51051176,2022-09-19,23266301,f,Santa Clara,37.3925,-121.95931,Entire home/apt,False,False,$239.00,9,2022-08-28,4.78,4.67,4.78,0.69
3824,51088016,2022-09-19,55465923,t,San Jose,37.390518,-121.836311,Entire home/apt,False,False,$107.00,37,2022-09-09,4.97,4.84,4.86,2.59
3825,51131132,2022-09-19,291510410,t,Cupertino,37.33661,-122.06384,Entire home/apt,False,False,"$1,980.00",2,2022-08-01,5.0,5.0,5.0,0.29
3826,51151094,2022-09-19,286408786,f,Cupertino,37.299782,-122.050743,Private room,False,False,$90.00,0,,,,,
3827,51153591,2022-09-19,165942616,t,San Jose,37.29428,-121.81164,Entire home/apt,False,False,$99.00,55,2022-08-22,4.75,4.75,4.6,3.99
3828,51153779,2022-09-19,26550148,f,Santa Clara,37.34217,-121.96922,Private room,False,False,$149.00,0,,,,,
3829,51154159,2022-09-19,142933064,f,Santa Clara,37.32899,-121.98306,Private room,False,False,$59.00,12,2022-07-16,5.0,5.0,4.92,0.93
3830,51155756,2022-09-19,414011538,t,San Jose,37.38738,-121.86887,Private room,False,False,$61.00,26,2022-09-17,4.92,4.73,4.88,2.12
3831,51162240,2022-09-19,107434423,f,Santa Clara,37.3381498,-121.9405116,Entire home/apt,False,False,$189.00,0,,,,,
3832,51170537,2022-09-19,70248015,f,Santa Clara,37.36373,-121.98075,Entire home/apt,False,False,$65.00,5,2022-05-31,4.8,4.8,4.4,0.36
3833,51175924,2022-09-19,413956913,t,San Jose,37.29079,-121.98604,Entire home/apt,False,False,$148.00,28,2022-09-01,4.96,4.89,4.93,2.76
3834,51176201,2022-09-19,48005494,f,Milpitas,37.41235,-121.88744,Entire home/apt,False,False,$113.00,0,,,,,
3835,51176300,2022-09-19,365271570,f,San Jose,37.34412,-121.89307,Private room,False,False,$75.00,69,2022-09-04,4.88,4.87,4.81,4.99
3836,51176464,2022-09-19,409751548,f,Gilroy,37.0049,-121.60558,Entire home/apt,True,True,$400.00,3,2022-07-31,5.0,5.0,5.0,0.25
3837,51178422,2022-09-19,220618706,f,Milpitas,37.430584,-121.883003,Entire home/apt,False,False,$112.00,38,2022-09-11,4.68,4.68,4.55,2.85
3838,51183311,2022-09-19,107434423,f,Campbell,37.2840959,-121.9367783,Entire home/apt,False,False,$178.00,0,,,,,
3839,51183318,2022-09-19,107434423,f,Campbell,37.2840959,-121.9367783,Entire home/apt,False,False,$172.00,1,2021-10-23,5.0,5.0,4.0,0.09
3840,51183328,2022-09-19,107434423,f,Campbell,37.2833233,-121.9365339,Entire home/apt,False,False,$205.00,0,,,,,
3841,51183376,2022-09-19,107434423,f,Campbell,37.2840959,-121.9367783,Entire home/apt,False,False,$184.00,0,,,,,
3842,51195593,2022-09-19,148115881,t,San Jose,37.30003,-121.79065,Private room,False,False,$79.00,2,2021-08-09,5.0,5.0,5.0,0.14
3843,51196457,2022-09-19,61047815,t,San Jose,37.31099,-121.95119,Entire home/apt,False,False,$150.00,6,2022-06-26,5.0,5.0,5.0,0.45
3844,51229076,2022-09-19,45399621,t,San Jose,37.37769,-121.84485,Entire home/apt,False,False,$116.00,1,2022-05-13,5.0,5.0,5.0,0.23
3845,51229551,2022-09-19,35633699,t,Santa Clara,37.35052,-121.99465,Entire home/apt,True,False,$135.00,11,2022-09-08,4.91,5.0,4.82,0.87
3846,51232109,2022-09-19,12520479,t,San Jose,37.34371,-121.93051,Entire home/apt,False,False,$259.00,12,2022-09-05,4.67,4.83,4.75,0.9
3847,51232487,2022-09-19,12520479,t,San Jose,37.34483,-121.92869,Entire home/apt,False,False,$208.00,9,2022-06-20,4.78,4.78,4.33,0.7
3848,51241220,2022-09-19,397129915,f,San Jose,37.34995,-121.87363,Entire home/apt,False,False,$289.00,6,2022-09-05,4.0,4.33,4.17,0.51
3849,51249075,2022-09-19,16266276,t,Sunnyvale,37.38623,-122.02185,Private room,False,False,$68.00,31,2022-08-25,5.0,4.97,4.97,2.24
3850,51251103,2022-09-19,188621181,t,San Jose,37.35762,-121.87895,Entire home/apt,False,False,$99.00,43,2022-08-27,4.93,4.86,4.95,5.56
3851,51255701,2022-09-19,154896480,t,Mountain View,37.39327,-122.0766,Entire home/apt,False,False,$295.00,25,2022-09-05,4.72,4.96,4.76,1.82
3852,51271713,2022-09-19,291510410,t,San Jose,37.39158,-121.88029,Entire home/apt,False,False,$220.00,21,2022-08-08,4.95,4.86,4.81,1.66
3853,51277797,2022-09-19,107434423,f,Santa Clara,37.32594,-121.97206,Entire home/apt,False,False,$309.00,1,2021-10-27,4.0,5.0,5.0,0.09
3854,51278296,2022-09-19,107434423,f,Santa Clara,37.3253684,-121.965152,Entire home/apt,False,False,$201.00,0,,,,,
3855,51283558,2022-09-19,415283654,f,San Jose,37.32017,-121.94653,Entire home/apt,False,False,$220.00,0,,,,,
3856,51286419,2022-09-19,22538846,f,San Jose,37.39825,-121.85029,Private room,False,False,$38.00,16,2022-09-13,4.31,4.81,4.31,1.16
3857,51286927,2022-09-19,373166289,f,Mountain View,37.40119,-122.06498,Entire home/apt,False,False,$105.00,24,2022-09-16,4.83,4.92,4.75,1.75
3858,51307641,2022-09-19,28532480,f,Palo Alto,37.41471,-122.1414,Private room,False,False,$150.00,1,2022-07-02,5.0,5.0,5.0,0.37
3859,51315568,2022-09-19,107434423,f,Palo Alto,37.44882,-122.16505,Entire home/apt,False,False,$280.00,1,2022-08-02,2.0,5.0,3.0,0.61
3860,51318221,2022-09-19,107434423,f,Campbell,37.2786517,-121.9478888,Entire home/apt,False,False,$336.00,0,,,,,
3861,51327494,2022-09-19,12520479,t,San Jose,37.34322,-121.92915,Entire home/apt,False,False,$519.00,0,,,,,
3862,51331577,2022-09-19,147833690,f,Sunnyvale,37.38337,-122.02071,Entire home/apt,False,False,$119.00,12,2022-09-03,4.92,4.83,4.75,1.02
3863,51337665,2022-09-19,415742696,f,San Jose,37.34986,-121.87388,Entire home/apt,False,False,$309.00,7,2022-08-21,4.86,4.86,4.86,0.82
3864,51344358,2022-09-19,149733888,f,Cupertino,37.31223,-122.02607,Private room,False,False,$78.00,2,2022-08-31,5.0,5.0,5.0,0.18
3865,51349885,2022-09-19,412994221,t,San Jose,37.3208,-121.87804,Entire home/apt,False,False,$141.00,51,2022-09-11,4.9,4.67,4.82,3.7
3866,51363175,2022-09-19,398959118,t,Santa Clara,37.34505,-121.96143,Entire home/apt,False,False,$318.00,64,2022-09-11,4.95,4.94,4.95,4.85
3867,51388060,2022-09-19,109373462,f,San Jose,37.32327,-121.94698,Entire home/apt,False,False,$175.00,0,,,,,
3868,51391310,2022-09-19,6326065,f,Sunnyvale,37.36581,-122.01669,Entire home/apt,False,False,$229.00,1,2022-08-22,4.0,4.0,3.0,1.0
3869,51392882,2022-09-19,391701095,f,San Jose,37.26814,-121.91012,Entire home/apt,False,False,$284.00,36,2022-09-11,4.78,4.78,4.61,2.92
3870,51392897,2022-09-19,413783499,f,San Jose,37.30435,-121.9701,Entire home/apt,False,False,$188.00,20,2021-11-27,4.8,4.85,4.75,1.46
