,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
6631,48060190,2022-09-18,365859700,t,Otay Ranch,32.61956,-116.98148,Private room,False,False,$46.00,22,2022-02-10,4.95,4.77,5.0,1.12
6632,48066690,2022-09-18,25283240,t,Old Town,32.75893,-117.17897,Entire home/apt,True,False,$106.00,6,2022-08-31,5.0,5.0,4.67,0.51
6633,48067127,2022-09-18,71215410,f,Bay Ho,32.81567,-117.21658,Entire home/apt,True,False,$355.00,0,,,,,
6634,47508549,2022-09-18,97330061,f,Mountain View,32.6972,-117.11682,Private room,False,False,$80.00,15,2022-08-14,4.27,4.4,4.33,0.73
6635,48068097,2022-09-18,116423949,t,Mission Bay,32.79579,-117.22958,Entire home/apt,True,False,$166.00,19,2022-08-28,4.89,4.95,4.79,1.05
6636,47519669,2022-09-19,88168913,f,Mission Bay,32.78633,-117.25396,Entire home/apt,False,False,$816.00,13,2022-08-29,4.92,5.0,4.85,0.67
6637,48070209,2022-09-19,7862065,f,North Hills,32.75129,-117.13232,Entire home/apt,False,False,$181.00,7,2021-05-01,5.0,4.86,5.0,0.39
6638,47531274,2022-09-19,8875994,t,Balboa Park,32.713947,-117.145088,Entire home/apt,False,False,$149.00,7,2022-07-18,4.86,4.43,4.57,0.35
6639,47531571,2022-09-18,3748918,t,La Jolla,32.8314,-117.27321,Entire home/apt,False,False,$145.00,39,2022-08-19,4.85,4.95,4.74,1.94
6640,48076131,2022-09-19,46111373,t,Loma Portal,32.74871,-117.22,Private room,False,False,$108.00,33,2022-09-05,5.0,4.97,4.97,2.26
6641,47533271,2022-09-18,383655054,t,Ocean Beach,32.74813,-117.24967,Entire home/apt,False,False,$230.00,131,2022-09-05,4.84,4.93,4.68,6.45
6642,48081037,2022-09-19,17424255,f,Grant Hill,32.70925,-117.14419,Entire home/apt,False,False,$99.00,31,2022-09-06,4.9,4.71,4.74,1.94
6643,47534753,2022-09-19,55418782,f,Ocean Beach,32.74245,-117.25079,Entire home/apt,False,False,$250.00,6,2022-08-08,5.0,5.0,4.83,0.42
6644,48084390,2022-09-19,157545661,f,Balboa Park,32.71861,-117.14049,Entire home/apt,False,False,$215.00,2,2022-03-23,5.0,5.0,5.0,0.1
6645,48089204,2022-09-19,121784457,t,Core,32.71525,-117.15521,Entire home/apt,True,False,$135.00,8,2022-05-23,4.5,4.5,4.25,0.44
6646,47535526,2022-09-19,6688389,t,Mission Bay,32.79063,-117.25454,Entire home/apt,False,False,$479.00,56,2022-09-09,4.89,4.96,4.73,2.96
6647,48095500,2022-09-19,17564342,t,North Hills,32.7408,-117.12594,Entire home/apt,False,False,$110.00,22,2022-08-17,4.86,5.0,4.91,1.23
6648,48096136,2022-09-18,109868619,t,Southcrest,32.68841,-117.10867,Entire home/apt,True,True,$300.00,70,2022-09-05,4.94,4.7,4.87,3.97
6649,48104811,2022-09-19,325593778,t,East Village,32.7107,-117.14951,Entire home/apt,False,False,$189.00,127,2022-09-16,4.72,4.25,4.55,6.7
6650,48108832,2022-09-18,254826659,t,Ocean Beach,32.75269,-117.24919,Entire home/apt,False,False,$192.00,104,2022-09-03,4.96,4.96,4.83,5.36
6651,47535995,2022-09-18,302760328,t,Midtown,32.73844,-117.17478,Entire home/apt,True,True,"$1,332.00",6,2022-09-12,5.0,5.0,5.0,0.33
6652,48109455,2022-09-19,78486118,t,Old Town,32.7451,-117.18385,Entire home/apt,False,False,$246.00,76,2022-09-03,4.87,4.84,4.83,3.96
6653,47537417,2022-09-18,348868955,f,Mission Bay,32.76652,-117.25121,Entire home/apt,False,False,"$4,179.00",0,,,,,
6654,47537970,2022-09-19,82987355,t,Mission Bay,32.76745,-117.25089,Entire home/apt,False,False,$95.00,62,2022-05-16,4.87,5.0,4.87,3.09
6655,48109615,2022-09-19,326010257,f,La Jolla,32.85899,-117.24763,Entire home/apt,False,False,$936.00,45,2022-07-29,4.51,4.91,4.38,1.28
6656,47549404,2022-09-19,140340485,t,Mission Bay,32.76623,-117.25292,Entire home/apt,True,True,$245.00,72,2022-09-13,4.99,4.96,4.9,3.67
6657,47550819,2022-09-18,370322303,t,City Heights East,32.74667,-117.09929,Entire home/apt,False,False,$141.00,124,2022-09-04,4.96,4.66,4.89,9.76
6658,48109689,2022-09-19,326010257,f,Midtown,32.743053,-117.177612,Entire home/apt,False,False,$207.00,21,2022-08-24,4.81,4.76,4.62,1.26
