,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1515,656312575779289741,2022-09-28,185227856,f,Unincorporated Areas,37.12405,-122.12719,Entire home/apt,True,True,$275.00,3,2022-08-21,5.0,5.0,4.67,5.0,5.0,5.0,5.0,1.73
1516,656561363942744144,2022-09-28,96443188,f,Unincorporated Areas,36.93535,-121.86194,Entire home/apt,False,False,$800.00,3,2022-09-05,4.67,5.0,5.0,4.67,5.0,4.33,5.0,1.88
1517,658062825246095048,2022-09-28,338074252,f,Unincorporated Areas,36.92791,-121.859219,Entire home/apt,False,False,$615.00,4,2022-09-26,5.0,5.0,5.0,5.0,5.0,4.75,4.75,1.52
1518,658073939071023696,2022-09-28,1094658,f,City of Scotts Valley,37.06201,-121.99159,Entire home/apt,True,True,$240.00,0,,,,,,,,,
1519,658156534525362522,2022-09-28,100114471,t,City of Santa Cruz,36.95997569653434,-122.03236139872207,Entire home/apt,False,False,$229.00,1,2022-07-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.41
1520,658596929900743646,2022-09-28,464570463,f,City of Capitola,36.97718302010021,-121.94157954310944,Private room,False,False,$172.00,11,2022-09-18,5.0,5.0,5.0,5.0,5.0,4.82,5.0,3.75
1521,659505889913870123,2022-09-28,191263876,f,Unincorporated Areas,37.10269,-121.92735,Entire home/apt,False,False,$50.00,9,2022-08-27,4.44,4.56,4.44,4.56,4.56,4.33,4.67,3.03
1522,659509845094336560,2022-09-28,50678412,f,Unincorporated Areas,37.02738107632783,-121.98690751534424,Entire home/apt,False,False,$128.00,5,2022-08-05,4.6,4.8,4.8,4.6,4.8,4.6,4.8,1.79
1523,659550166569143343,2022-09-28,448867205,f,Unincorporated Areas,37.10644,-121.91756,Entire home/apt,False,False,$51.00,7,2022-09-11,4.29,4.86,3.86,4.71,4.43,4.29,4.29,2.84
1524,659656474903183836,2022-09-28,47316700,t,City of Capitola,36.97432197239797,-121.95196145640313,Entire home/apt,False,False,$221.00,16,2022-09-18,5.0,4.88,4.88,5.0,5.0,4.75,4.94,5.45
1525,659679228352829485,2022-09-28,47316700,t,City of Capitola,36.972497686131454,-121.9527752519328,Entire home/apt,False,False,$183.00,22,2022-09-22,4.91,5.0,5.0,5.0,4.95,4.68,4.91,8.15
1526,660004496215106927,2022-09-28,109030873,f,Unincorporated Areas,36.9754576531724,-121.91713230220218,Entire home/apt,False,False,$100.00,1,2022-09-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1527,660200123704742149,2022-09-28,8733947,t,Unincorporated Areas,37.1275795,-122.1254797,Entire home/apt,False,False,$90.00,12,2022-09-12,4.58,4.83,4.58,5.0,4.92,4.58,4.58,4.14
1528,660248115629556372,2022-09-28,466808785,f,City of Santa Cruz,36.97659801877457,-122.012653760612,Entire home/apt,False,False,$238.00,12,2022-09-25,5.0,4.92,4.75,5.0,5.0,4.92,4.92,4.19
1529,660923192947397017,2022-09-28,220445396,f,City of Santa Cruz,36.95602326668486,-122.0401433633402,Entire home/apt,True,True,$300.00,10,2022-09-12,5.0,4.9,5.0,5.0,5.0,4.9,4.9,3.66
1530,661076467579309446,2022-09-28,76180716,f,Unincorporated Areas,37.1062579,-121.9702451,Entire home/apt,False,False,$600.00,4,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.08
1531,661551497759215174,2022-09-28,3464210,t,Unincorporated Areas,37.07544217351538,-121.98096480220556,Entire home/apt,False,False,$96.00,23,2022-09-12,4.96,5.0,5.0,4.91,5.0,4.87,4.91,7.93
1532,661554338575906469,2022-09-28,467115890,f,Unincorporated Areas,37.08048,-122.07323,Entire home/apt,False,False,$314.00,10,2022-09-11,4.7,4.7,4.9,5.0,4.9,4.5,4.7,3.45
1533,661848503959744749,2022-09-28,8733947,t,Unincorporated Areas,37.12715,-122.12579,Entire home/apt,False,False,$91.00,8,2022-09-17,4.88,5.0,4.75,5.0,5.0,4.5,4.75,3.0
1534,662915022690986252,2022-09-28,13379537,f,Unincorporated Areas,37.06732,-122.06729,Entire home/apt,False,False,$149.00,1,2022-08-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.57
1535,662949787115943582,2022-09-28,381355398,f,Unincorporated Areas,37.13937,-122.15305,Private room,False,False,$150.00,3,2022-08-07,4.67,5.0,5.0,4.67,5.0,4.0,4.33,1.2
1536,663001980645705367,2022-09-28,191263876,f,Unincorporated Areas,37.10139,-121.92608,Entire home/apt,False,False,$129.00,2,2022-08-11,3.5,3.5,4.0,4.5,4.5,3.0,3.5,0.9
1537,664018768227886722,2022-09-28,302227863,f,Unincorporated Areas,36.88897,-121.64375,Entire home/apt,False,False,$137.00,18,2022-09-25,4.94,4.83,4.72,5.0,4.94,4.83,4.78,10.0
1538,664453778295976078,2022-09-28,467819717,f,Unincorporated Areas,36.94781,-121.87386,Entire home/apt,False,False,$515.00,6,2022-09-25,4.33,4.67,5.0,5.0,5.0,4.33,4.83,2.43
1539,665111513842824034,2022-09-28,194149080,f,City of Santa Cruz,36.98469185787249,-122.02410388065194,Entire home/apt,False,False,$183.00,2,2022-09-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.87
1540,666012318426251957,2022-09-28,15867956,f,City of Capitola,36.97231889075499,-121.95036132342672,Entire home/apt,False,False,$264.00,0,,,,,,,,,
1541,666187632030088004,2022-09-28,13379537,f,Unincorporated Areas,37.06735,-122.06793,Entire home/apt,False,False,$149.00,0,,,,,,,,,
1542,666197715611595557,2022-09-28,66766828,f,City of Santa Cruz,36.96268,-122.04291,Entire home/apt,False,False,$440.00,2,2022-09-12,5.0,5.0,5.0,5.0,5.0,4.5,4.5,2.0
1543,666854289695597677,2022-09-28,34277816,f,City of Santa Cruz,36.97444136178536,-122.03167812613734,Private room,True,False,$202.00,1,2022-07-30,5.0,5.0,4.0,5.0,5.0,3.0,3.0,0.49
1544,666854506007103831,2022-09-28,34277816,f,City of Santa Cruz,36.97014826595871,-122.02050870045096,Private room,True,False,$165.00,8,2022-09-19,4.75,4.88,4.75,4.63,4.0,4.38,4.5,4.0
1545,667344078483384054,2022-09-28,105054999,t,Unincorporated Areas,37.16738,-122.15487,Entire home/apt,True,True,$268.00,7,2022-09-19,4.57,4.43,4.57,5.0,4.71,4.14,4.14,3.09
1546,667489783645020076,2022-09-28,16747821,f,City of Santa Cruz,36.95602140902775,-122.03270632067266,Entire home/apt,False,False,$200.00,0,,,,,,,,,
1547,668801289549138982,2022-09-28,80750975,f,Unincorporated Areas,36.96176714262828,-121.98301690935826,Entire home/apt,False,False,$200.00,0,,,,,,,,,
1548,669084319730450026,2022-09-28,5628576,f,City of Capitola,36.96842004676041,-121.9596263216913,Entire home/apt,False,False,$450.00,4,2022-08-28,5.0,5.0,5.0,5.0,5.0,4.25,5.0,1.79
