,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1427,35971791,2022-09-18,13141807,t,South Kennedy Tract,37.76345,-122.24757,Private room,False,False,$61.00,188,2022-09-04,4.92,4.9,4.93,4.91,4.97,4.88,4.88,4.76
1428,35972878,2022-09-18,10306844,f,Ralph Bunche,37.81471,-122.28751,Entire home/apt,False,False,$130.00,5,2021-06-25,5.0,4.6,5.0,5.0,5.0,5.0,5.0,0.13
1429,35977782,2022-09-18,13141807,t,South Kennedy Tract,37.7632,-122.24775,Private room,False,False,$61.00,138,2022-08-29,4.86,4.92,4.89,4.91,4.93,4.81,4.81,3.52
1430,36118236,2022-09-18,101724679,f,Castlemont,37.75121,-122.16133,Entire home/apt,False,False,$229.00,10,2019-11-20,4.78,4.56,4.44,4.89,4.78,4.67,4.56,0.26
1431,36133587,2022-09-18,1748565,f,Upper Rockridge,37.84907,-122.23573,Entire home/apt,False,False,"$2,499.00",3,2021-10-15,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.12
1432,36146879,2022-09-18,48422,f,McClymonds,37.81666,-122.27761,Private room,False,False,$42.00,13,2022-08-23,4.62,4.15,4.15,4.85,4.85,4.38,4.46,0.35
1433,36179468,2022-09-18,48005494,f,Pill Hill,37.8201,-122.26319,Entire home/apt,False,False,$163.00,3,2022-09-17,5.0,4.67,5.0,5.0,5.0,4.67,4.67,0.08
1434,36179573,2022-09-18,48005494,f,Pill Hill,37.82127,-122.26276,Entire home/apt,False,False,$126.00,1,2019-09-05,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.03
1435,36181330,2022-09-18,38287855,f,Longfellow,37.83613,-122.27559,Private room,False,False,$45.00,0,,,,,,,,,
1436,36205150,2022-09-18,240049975,f,Prescott,37.80808,-122.30206,Entire home/apt,False,False,$270.00,56,2022-07-22,4.68,4.13,4.57,4.73,4.59,4.66,4.52,1.45
1437,36205638,2022-09-18,240049975,f,Prescott,37.80855,-122.30193,Entire home/apt,False,False,$278.00,53,2022-08-15,4.64,4.3,4.53,4.83,4.87,4.6,4.62,1.37
1438,36227039,2022-09-18,161134128,f,Toler Heights,37.75861,-122.15995,Entire home/apt,False,False,$150.00,0,,,,,,,,,
1439,36274772,2022-09-18,99685402,t,Shepherd Canyon,37.83239,-122.19745,Entire home/apt,False,False,$150.00,42,2022-09-11,4.9,4.98,4.95,5.0,5.0,4.81,4.9,1.09
1440,36300796,2022-09-18,206014558,f,Sobrante Park,37.73074,-122.17576,Entire home/apt,False,False,$199.00,12,2022-07-04,4.67,4.0,4.58,5.0,5.0,4.75,4.67,0.31
1441,36316014,2022-09-18,16854917,t,Old City-Produce And Waterfront,37.80117,-122.27397,Private room,False,False,$57.00,60,2022-07-30,4.75,4.8,4.77,4.88,4.87,4.65,4.55,1.55
1442,36316987,2022-09-18,16854917,t,Chinatown,37.80135,-122.27247,Private room,False,False,$56.00,53,2022-08-28,4.83,4.85,4.79,4.92,5.0,4.72,4.72,1.37
1443,36317475,2022-09-18,16854917,t,Prescott,37.81443,-122.30848,Private room,False,False,$65.00,12,2022-05-29,5.0,4.92,4.92,4.83,4.75,4.67,4.83,0.31
1444,36385324,2022-09-18,19993507,t,Oakmore,37.81084,-122.2027,Entire home/apt,False,False,$124.00,320,2022-09-16,4.95,4.86,4.95,4.97,4.96,4.86,4.94,9.2
1445,36428201,2022-09-18,2750863,f,Fruitvale Station,37.77584,-122.22513,Entire home/apt,False,False,$135.00,42,2022-09-05,4.93,4.67,4.83,4.95,4.95,4.67,4.81,1.09
1446,36489557,2022-09-18,206014558,f,Brookfield Village,37.73492,-122.17948,Entire home/apt,False,False,$202.00,12,2022-08-07,4.75,4.33,4.42,5.0,5.0,4.5,4.5,0.88
1447,36524727,2022-09-18,86215781,t,Paradise Park,37.86957,-122.28536,Entire home/apt,False,False,$250.00,65,2022-09-04,5.0,4.94,4.97,5.0,4.98,4.86,4.92,1.73
1448,36666579,2022-09-18,14860881,t,Fairview Park,37.86244,-122.25784,Entire home/apt,False,False,$136.00,54,2022-08-20,4.91,4.89,4.81,4.8,4.94,4.7,4.81,1.41
1449,36697280,2022-09-18,20413176,f,Saint Elizabeth,37.77646,-122.2164,Private room,False,False,$65.00,26,2022-08-29,4.96,4.38,4.96,4.88,5.0,4.85,4.92,0.68
1450,36701415,2022-09-18,6676432,t,Bushrod,37.86409,-122.2692,Private room,False,False,$124.00,0,,,,,,,,,
1451,36709590,2022-09-18,275903280,f,Seminary,37.76802,-122.20192,Private room,False,False,$55.00,2,2021-12-27,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.2
1452,36763263,2022-09-18,33291285,f,South Kennedy Tract,37.77152,-122.2517,Entire home/apt,False,False,$266.00,5,2021-11-27,5.0,5.0,4.0,5.0,5.0,4.8,4.4,0.13
1453,36883243,2022-09-18,6676432,t,Bushrod,37.86584,-122.26376,Private room,False,False,$144.00,0,,,,,,,,,
1454,37026729,2022-09-18,42957418,f,Produce And Waterfront,37.78068,-122.28322,Entire home/apt,False,False,$255.00,0,,,,,,,,,
1455,37124086,2022-09-18,270407997,f,Prescott,37.81347,-122.29958,Private room,False,False,$150.00,0,,,,,,,,,
1456,37154130,2022-09-18,12518365,f,Panoramic Hill,37.8811,-122.25289,Entire home/apt,False,False,$85.00,26,2022-09-02,4.85,4.69,4.88,4.92,4.85,4.77,4.77,0.69
